GuestID,PromoCode,Region,AllInclusive,PackageType,Age,VIP,RoomService,Dining,Retail,Spa,Entertainment,LoyaltyPoints,SurveyScore,DaysSinceEmail,BookingChannel,AgeGroup,ReferralSource,Churned,BookingYear,BookingMonth,BookingDayOfWeek,BookingIsWeekend,DaysSinceFirstBooking,RoomBuilding,RoomNumber,RoomSection,RoomFloor,RoomOnFloor,RoomPositionInBuilding,AgeKnown,RoomService_log,Dining_log,Retail_log,Spa_log,Entertainment_log,TotalSpend,TotalSpend_log,SpendCategories,RoomService_share,Dining_share,Retail_share,Spa_share,Entertainment_share,Region_PackageType,PromoCode_missing,Region_missing,AllInclusive_missing
619623,,Americas,0.0,Relaxation,,0.0,0,0,0,0,0,6915,5,136,Website,,Facebook,1,2024,2,5,1,405,G,630.0,S,6,30,0.418049104180491,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,Americas__Relaxation,1,0,0
776250,,Americas,1.0,Relaxation,17.0,0.0,0,0,0,0,0,8571,5,362,Corporate,Minor,Billboard,1,2024,1,2,0,367,G,201.0,S,2,1,0.1333775713337757,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,Americas__Relaxation,1,0,0
932709,,Americas,,Wellness,35.0,0.0,0,0,0,0,0,1142,4,154,TravelAgent,Middle,Facebook,0,2023,1,1,0,16,G,1483.0,S,14,83,0.9840743198407432,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,Americas__Wellness,1,0,1
771839,PromoA,Europe,1.0,Adventure,26.0,0.0,0,0,0,0,0,9642,2,128,Website,Young,Magazine,1,2023,12,5,1,342,D,164.0,S,1,64,0.563573883161512,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,Europe__Adventure,0,0,0
755501,PromoA,Americas,0.0,Relaxation,13.0,0.0,0,0,60,1,5147,5528,4,35,Mobile,Minor,Google,0,2024,2,3,0,410,G,818.0,P,8,18,0.5428002654280026,1,0.0,0.0,4.110873864173311,0.6931471805599453,8.546363568716018,5208,8.558143177745192,3,0.0,0.0,0.01152073732718894,0.00019201228878648233,0.9882872503840245,Americas__Relaxation,0,0,0
213877,PromoB,Americas,0.0,Relaxation,24.0,0.0,0,217,0,77,510,48,5,2,Mobile,Young,TripAdvisor,0,2024,2,5,1,398,F,1185.0,P,11,85,0.6259904912836767,1,0.0,5.384495062789089,0.0,4.356708826689592,6.236369590203704,804,6.690842277418564,3,0.0,0.26990049751243783,0.0,0.09577114427860696,0.6343283582089553,Americas__Relaxation,0,0,0
322883,,AsiaPacific,0.0,Relaxation,,0.0,0,0,0,0,0,4941,4,245,Website,,Facebook,1,2024,6,5,1,524,F,152.0,S,1,52,0.08029582673005811,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,AsiaPacific__Relaxation,1,0,0
515689,,,0.0,Adventure,,0.0,161,641,0,2,0,2326,4,144,TravelAgent,Young,Facebook,1,2023,7,5,1,188,E,179.0,P,1,79,0.2944078947368421,0,5.087596335232384,6.464588303689961,0.0,1.0986122886681098,0.0,804,6.690842277418564,3,0.20024875621890548,0.7972636815920398,0.0,0.0024875621890547263,0.0,UNK__Adventure,1,1,0
121285,,Europe,1.0,Adventure,32.0,0.0,0,0,0,0,0,2733,5,140,TravelAgent,Middle,Billboard,1,2024,12,5,1,706,B,32.0,S,0,32,0.0906515580736544,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,Europe__Adventure,1,0,0
860704,PromoA,Americas,0.0,Wellness,29.0,0.0,631,168,0,40,0,3350,4,292,Corporate,Young,Email,0,2024,2,6,1,420,F,545.0,S,5,45,0.2879027997886952,1,6.448889394146858,5.1298987149230735,0.0,3.713572066704308,0.0,839,6.733401891837359,3,0.7520858164481525,0.20023837902264602,0.0,0.04767580452920143,0.0,Americas__Wellness,0,0,0
