GuestID,PromoCode,Region,AllInclusive,PackageType,Age,VIP,RoomService,Dining,Retail,Spa,Entertainment,LoyaltyPoints,SurveyScore,DaysSinceEmail,BookingChannel,AgeGroup,ReferralSource,Churned,BookingYear,BookingMonth,BookingDayOfWeek,BookingIsWeekend,DaysSinceFirstBooking,RoomBuilding,RoomNumber,RoomSection,AgeKnown,RoomService_log,Dining_log,Retail_log,Spa_log,Entertainment_log,TotalSpend,TotalSpend_log,SpendCategories,PromoCode_missing,Region_missing,AllInclusive_missing
619623,,Americas,0.0,Relaxation,,0.0,0,0,0,0,0,6915,5,136,Website,,Facebook,1,2024,2,5,1,405,G,630.0,S,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
776250,,Americas,1.0,Relaxation,17.0,0.0,0,0,0,0,0,8571,5,362,Corporate,Minor,Billboard,1,2024,1,2,0,367,G,201.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
932709,,Americas,,Wellness,35.0,0.0,0,0,0,0,0,1142,4,154,TravelAgent,Middle,Facebook,0,2023,1,1,0,16,G,1483.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,1
771839,PromoA,Europe,1.0,Adventure,26.0,0.0,0,0,0,0,0,9642,2,128,Website,Young,Magazine,1,2023,12,5,1,342,D,164.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
755501,PromoA,Americas,0.0,Relaxation,13.0,0.0,0,0,60,1,5147,5528,4,35,Mobile,Minor,Google,0,2024,2,3,0,410,G,818.0,P,1,0.0,0.0,4.110873864173311,0.6931471805599453,8.546363568716018,5208,8.558143177745192,3,0,0,0
213877,PromoB,Americas,0.0,Relaxation,24.0,0.0,0,217,0,77,510,48,5,2,Mobile,Young,TripAdvisor,0,2024,2,5,1,398,F,1185.0,P,1,0.0,5.384495062789089,0.0,4.356708826689592,6.236369590203704,804,6.690842277418564,3,0,0,0
322883,,AsiaPacific,0.0,Relaxation,,0.0,0,0,0,0,0,4941,4,245,Website,,Facebook,1,2024,6,5,1,524,F,152.0,S,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
515689,,,0.0,Adventure,,0.0,161,641,0,2,0,2326,4,144,TravelAgent,Young,Facebook,1,2023,7,5,1,188,E,179.0,P,0,5.087596335232384,6.464588303689961,0.0,1.0986122886681098,0.0,804,6.690842277418564,3,1,1,0
121285,,Europe,1.0,Adventure,32.0,0.0,0,0,0,0,0,2733,5,140,TravelAgent,Middle,Billboard,1,2024,12,5,1,706,B,32.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
860704,PromoA,Americas,0.0,Wellness,29.0,0.0,631,168,0,40,0,3350,4,292,Corporate,Young,Email,0,2024,2,6,1,420,F,545.0,S,1,6.448889394146858,5.1298987149230735,0.0,3.713572066704308,0.0,839,6.733401891837359,3,0,0,0
763768,PromoA,AsiaPacific,0.0,Relaxation,22.0,0.0,0,0,0,0,0,1465,1,142,Mobile,Young,Google,0,2024,2,5,1,412,E,252.0,P,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
935778,PromoA,Americas,0.0,Relaxation,19.0,0.0,16,1739,9,5,8,3416,1,322,Mobile,Young,Google,1,2024,12,5,1,713,G,1436.0,S,1,2.833213344056216,7.461640392208575,2.302585092994046,1.791759469228055,2.1972245773362196,1777,7.48324441607385,5,0,0,0
478782,PromoA,Europe,0.0,Adventure,39.0,0.0,0,509,0,1528,509,869,4,219,Website,Middle,TV,0,2024,5,4,0,509,C,69.0,P,1,0.0,6.234410725718371,0.0,7.332369205929062,6.234410725718371,2546,7.842671474979457,3,0,0,0
358802,,Europe,1.0,Adventure,15.0,0.0,0,0,0,0,0,5515,4,68,Corporate,Minor,TripAdvisor,1,2024,12,0,0,701,B,75.0,S,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
605619,PromoB,Americas,0.0,Relaxation,47.0,0.0,0,61,805,0,216,2240,4,134,Mobile,Senior,Facebook,1,2024,11,4,0,684,F,1535.0,P,1,0.0,4.127134385045092,6.692083742506628,0.0,5.37989735354046,1082,6.9874902470009905,3,0,0,0
415732,,Americas,0.0,Relaxation,9.0,0.0,0,0,0,0,0,3727,2,256,Mobile,Minor,Google,1,2023,6,3,0,172,F,1411.0,P,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0
496404,PromoA,Europe,,Relaxation,40.0,0.0,0,331,0,0,1687,1503,3,182,Website,Middle,TripAdvisor,0,2023,8,0,0,232,B,5.0,P,1,0.0,5.805134968916488,0.0,0.0,7.431299675155903,2018,7.610357618312838,2,0,0,1
